0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:18:58 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 200 3898
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:00 +0900] "GET /KangTest/bbs.jsp?searchType=%EC%A0%84%EC%B2%B4&search=3 HTTP/1.1" 200 3019
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:04 +0900] "GET /KangTest/bbs.jsp?searchType=%EB%82%B4%EC%9A%A9%EB%A7%8C&search=3 HTTP/1.1" 200 3198
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:05 +0900] "GET /KangTest/bbs.jsp?searchType=%EB%82%B4%EC%9A%A9%EB%A7%8C&search=%EB%8F%99%ED%95%B4%EB%AC%BC%EA%B3%BC+%EB%B0%B1%EB%91%90%EC%82%B0%EC%9D%B4+%EB%A7%88%EB%A5%B4%EA%B3%A0+%EB%8B%B3%EB%8F%84%EB%A1%9D HTTP/1.1" 200 3202
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:08 +0900] "GET /KangTest/bbs.jsp?searchType=%EB%82%B4%EC%9A%A9%EB%A7%8C&search=%EB%8F%99%ED%95%B4%EB%AC%BC%EA%B3%BC+%EB%B0%B1%EB%91%90%EC%82%B0%EC%9D%B4+%EB%A7%88%EB%A5%B4%EA%B3%A0+%EB%8B%B3%EB%8F%84%EB%A1%9D HTTP/1.1" 200 3202
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:09 +0900] "GET /KangTest/bbs.jsp?searchType=%EB%82%B4%EC%9A%A9%EB%A7%8C&search=3 HTTP/1.1" 200 3198
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:10 +0900] "GET /KangTest/bbs.jsp?searchType=%EB%82%B4%EC%9A%A9%EB%A7%8C&search=%EB%8F%99%ED%95%B4%EB%AC%BC%EA%B3%BC+%EB%B0%B1%EB%91%90%EC%82%B0%EC%9D%B4+%EB%A7%88%EB%A5%B4%EA%B3%A0+%EB%8B%B3%EB%8F%84%EB%A1%9D HTTP/1.1" 200 3202
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:12 +0900] "GET /KangTest/view.jsp?bbsID=38 HTTP/1.1" 200 3415
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:14 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 200 3898
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:19 +0900] "GET /KangTest/bbs.jsp?searchType=%EB%82%B4%EC%9A%A9%EB%A7%8C&search=%EB%B0%B1%EB%91%90%EC%82%B0 HTTP/1.1" 200 3202
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:20 +0900] "GET /KangTest/view.jsp?bbsID=38 HTTP/1.1" 200 3415
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:27 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 200 3898
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:29 +0900] "GET /KangTest/bbs.jsp?searchType=%EC%A0%84%EC%B2%B4&search=%EA%B3%BC+%EB%B0%B1 HTTP/1.1" 200 3019
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:30 +0900] "GET /KangTest/bbs.jsp?searchType=%EC%A0%84%EC%B2%B4&search=%EA%B3%BC+%EB%B0%B1 HTTP/1.1" 200 3019
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:34 +0900] "GET /KangTest/bbs.jsp?searchType=%EB%82%B4%EC%9A%A9%EB%A7%8C&search=%EA%B3%BC+%EB%B0%B1 HTTP/1.1" 200 3202
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:37 +0900] "GET /KangTest/bbs.jsp?searchType=%EB%82%B4%EC%9A%A9%EB%A7%8C&search=%EA%B3%BC%EB%B0%B1 HTTP/1.1" 200 3028
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:42 +0900] "GET /KangTest/bbs.jsp?searchType=%EB%82%B4%EC%9A%A9%EB%A7%8C&search=%EB%8F%99%ED%95%B4%EB%AC%BC HTTP/1.1" 200 3202
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:19:43 +0900] "GET /KangTest/view.jsp?bbsID=38 HTTP/1.1" 200 3415
0:0:0:0:0:0:0:1 - - [28/Feb/2021:21:20:24 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 200 3898
