0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:37:19 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:37:46 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 200 3805
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:37:46 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:37:46 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:37:46 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:38:43 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 200 3799
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:38:43 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:38:43 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:38:43 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:39:04 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 200 3786
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:39:04 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:39:04 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:39:04 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:39:42 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 200 3821
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:39:42 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:39:42 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:39:42 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:39:58 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 200 3821
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:39:58 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:39:58 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:39:58 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:42:49 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 200 3767
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:42:49 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:42:49 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:42:49 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:43:14 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 200 3503
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:43:14 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:43:14 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:43:14 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:43:23 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 200 3821
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:43:23 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:43:23 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:43:23 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:43:34 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 200 3824
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:43:34 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:43:34 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:43:34 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:44:32 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 200 3897
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:44:32 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:44:32 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:44:32 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:44:43 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 200 3824
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:44:43 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:44:43 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:16:44:43 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:17:01:22 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 200 3552
0:0:0:0:0:0:0:1 - - [15/Jan/2021:17:01:22 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:17:01:22 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:17:01:22 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:17:01:57 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [15/Jan/2021:17:01:57 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:17:01:57 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:17:01:57 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:17:02:02 +0900] "GET /KangTest/bbs.jsp?searchType=%EC%A0%84%EC%B2%B4&search=asd HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [15/Jan/2021:17:04:07 +0900] "GET /KangTest/bbs.jsp?searchType=%EC%A0%84%EC%B2%B4&search=asd HTTP/1.1" 200 3589
0:0:0:0:0:0:0:1 - - [15/Jan/2021:17:04:07 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:17:04:07 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:17:04:07 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:17:04:41 +0900] "GET /KangTest/bbs.jsp?searchType=%EC%A0%84%EC%B2%B4&search=asd HTTP/1.1" 200 3578
0:0:0:0:0:0:0:1 - - [15/Jan/2021:17:04:41 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:17:04:41 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:17:04:41 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:17:05:20 +0900] "GET /KangTest/bbs.jsp?searchType=%EC%A0%84%EC%B2%B4&search= HTTP/1.1" 200 3578
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:06:27 +0900] "GET /KangTest/bbs.jsp?searchType=%EC%A0%84%EC%B2%B4&search= HTTP/1.1" 200 3565
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:06:27 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:06:27 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:06:27 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:06:29 +0900] "GET /KangTest/bbs.jsp?searchType=%EC%A0%84%EC%B2%B4&search=123 HTTP/1.1" 200 3565
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:15:06 +0900] "GET /KangTest/bbs.jsp?searchType=%EC%A0%84%EC%B2%B4&search=123 HTTP/1.1" 500 3862
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:15:36 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 500 3862
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:19:36 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 500 3763
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:22:44 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 200 3565
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:22:44 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:22:44 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:22:44 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:22:48 +0900] "GET /KangTest/bbs.jsp?searchType=%EC%A0%84%EC%B2%B4&search=234 HTTP/1.1" 200 3565
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:22:50 +0900] "GET /KangTest/bbs.jsp?searchType=%EC%A0%84%EC%B2%B4&search=234 HTTP/1.1" 200 3565
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:22:52 +0900] "GET /KangTest/bbs.jsp?searchType=%EC%A0%84%EC%B2%B4&search=123 HTTP/1.1" 200 3565
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:22:57 +0900] "GET /KangTest/view.jsp?bbsID=27 HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:22:59 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 200 3565
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:23:00 +0900] "GET /KangTest/bbs.jsp?pageNumber=2 HTTP/1.1" 200 3316
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:23:02 +0900] "GET /KangTest/login.jsp HTTP/1.1" 200 2174
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:23:05 +0900] "POST /KangTest/loginAction.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:23:05 +0900] "GET /KangTest/main.jsp HTTP/1.1" 200 2020
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:23:06 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 200 3516
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:23:07 +0900] "GET /KangTest/view.jsp?bbsID=27 HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:23:09 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 200 3516
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:23:14 +0900] "GET /KangTest/view.jsp?bbsID=21 HTTP/1.1" 200 3431
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:27:25 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 200 3516
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:27:25 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:27:25 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:27:25 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:27:30 +0900] "GET /KangTest/bbs.jsp?searchType=%EC%A0%84%EC%B2%B4&search=234 HTTP/1.1" 200 3516
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:27:32 +0900] "GET /KangTest/bbs.jsp?searchType=%EC%A0%84%EC%B2%B4&search=234 HTTP/1.1" 200 3516
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:27:37 +0900] "GET /KangTest/bbs.jsp?searchType=%EC%A0%84%EC%B2%B4&search=234 HTTP/1.1" 200 3516
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:28:00 +0900] "GET /KangTest/bbs.jsp?searchType=%EC%A0%84%EC%B2%B4&search=234 HTTP/1.1" 200 3516
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:28:00 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:28:00 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:28:00 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:28:03 +0900] "GET /KangTest/bbs.jsp?searchType=%EC%A0%84%EC%B2%B4&search=234 HTTP/1.1" 200 3516
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:28:04 +0900] "GET /KangTest/bbs.jsp?searchType=%EC%A0%84%EC%B2%B4&search= HTTP/1.1" 200 3516
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:28:06 +0900] "GET /KangTest/bbs.jsp?searchType=%EC%A0%84%EC%B2%B4&search=234 HTTP/1.1" 200 3516
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:28:59 +0900] "GET /KangTest/bbs.jsp?searchType=%EB%82%B4%EC%9A%A9%EB%A7%8C&search=1 HTTP/1.1" 200 3525
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:34:12 +0900] "GET /KangTest/bbs.jsp?searchType=%EB%82%B4%EC%9A%A9%EB%A7%8C&search=1 HTTP/1.1" 200 2151
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:34:12 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:34:12 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:34:12 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:34:17 +0900] "GET /KangTest/bbs.jsp?searchType=%EB%82%B4%EC%9A%A9%EB%A7%8C&search=3 HTTP/1.1" 200 2151
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:34:20 +0900] "GET /KangTest/bbs.jsp?searchType=%EC%A0%84%EC%B2%B4&search=3 HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:34:22 +0900] "GET /KangTest/bbs.jsp?searchType=%EC%A0%84%EC%B2%B4&search=3 HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:34:38 +0900] "GET /KangTest/bbs.jsp?searchType=%EC%A0%84%EC%B2%B4&search=3 HTTP/1.1" 200 3523
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:34:38 +0900] "GET /KangTest/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:34:38 +0900] "GET /KangTest/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:34:38 +0900] "GET /KangTest/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:42:52 +0900] "GET /KangTest/main.jsp HTTP/1.1" 200 2020
0:0:0:0:0:0:0:1 - - [15/Jan/2021:18:43:14 +0900] "GET /KangTest/bbs.jsp HTTP/1.1" 200 3523
